corruption,items,language,mean_cer,mean_wer
aac_32k,8,fr,0.24482290050213926,0.5311191832689244
aac_32k,8,zh,0.6205911413148255,1.0
babble_4spk_10db,8,fr,0.381141722166545,0.7259517574215413
babble_4spk_10db,8,zh,0.7509772026219395,1.0
clean,8,fr,0.21201671092214805,0.420088003574111
clean,8,zh,0.6071982841719684,1.0
competing_speech_16db,8,fr,0.7200187451971386,1.054452832276145
competing_speech_16db,8,zh,0.7701766435319067,1.0
gaussian_25db,8,fr,0.26570415137058867,0.5120726155990479
gaussian_25db,8,zh,0.607676041064199,1.0
reverb_small_room,8,fr,0.22624863124056144,0.4743264511996311
reverb_small_room,8,zh,0.6151478455754771,1.0
telephone_bandpass,8,fr,0.21914043031877017,0.47959691923131176
telephone_bandpass,8,zh,0.6042220936957778,1.0
