audio_index,mean_overlap_disagreement,overlap_bins,p90_overlap_disagreement,policy
0,0.38533333333333336,1125,0.5,stride_15s
0,0.48113846153846157,1625,0.8,stride_5s
0,0.5541706585725856,1825,0.9166666666666666,stride_1s
1,0.3888888888888889,1125,0.5,stride_15s
1,0.48689230769230774,1625,0.8333333333333334,stride_5s
1,0.5621516023825043,1825,0.9310344827586207,stride_1s
2,0.39066666666666666,1125,0.5,stride_15s
2,0.49628717948717943,1625,0.8333333333333334,stride_5s
2,0.5708366378139771,1825,0.9333333333333333,stride_1s
